,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q52,Q23,Q24,Q25,Q26,Q27,Q28,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q51,Q29,Q31,Q33,Q35,Q37,Q40,Q42,Q44,Q46,Q48,Q30,Q32,Q34,Q36,Q38,Q39,Q41,Q43,Q45,Q47,Q80,Q81
62,,,,,,50,-21,50,50,50,50,,,,-18,38,-35,,,,,,-26,-36,-28,-17,-22,,,,,,,,,,,,50,-19,50,-23,24,50,37,50,-47,50,50,
63,50,50,50,50,50,,,,,,,-49,50,50,,,,37,-50,30,-50,0,,,,,,-50,16,-50,27,30,-50,-50,50,-50,-50,34,,,,,,,,,,,,50
64,,,,,,50,9,50,50,50,,,,,-44,42,-28,,,,,,28,-50,-24,9,-50,-50,,,,,,,,,,,13,-48,-30,-32,27,-18,-40,-50,-41,-25,50,
65,,,,,,43,1,44,43,43,42,,,,42,43,0,,,,,,43,42,3,43,0,,,,,,,,,,,,44,42,42,42,42,43,44,43,44,42,44,
66,,,,,,42,50,50,48,17,50,,,,40,50,-30,,,,,,14,-37,36,15,-38,,,,,,,,,,,,44,44,42,50,45,50,39,14,-15,12,42,
67,,,,,,44,-49,44,46,47,43,,,,-33,45,-49,,,,,,47,-48,-45,-50,-46,,,,,,,,,,,,-40,-44,-49,-44,49,-43,-45,-50,-50,-37,44,
68,50,50,-28,50,50,,,,,,50,-50,27,-45,,,,-50,-50,-48,-50,-50,,,,,,,27,-50,-23,-50,-50,-50,50,-50,-50,50,,,,,,,,,,,,50
69,,,,,,50,-35,50,50,50,50,,,,-28,22,-44,,,,,,50,-50,12,10,-50,,,,,,,,,,,,-36,50,50,50,50,50,23,-50,50,50,50,
70,50,50,50,49,49,,,,,,,50,44,50,,,,50,50,23,50,50,,,,,,-50,28,32,50,-1,26,50,50,-7,28,50,,,,,,,,,,,,41
71,50,-19,13,-11,45,,,,,,50,20,31,10,,,,18,14,-9,-13,-7,,,,,,,17,-11,13,12,-21,25,50,-15,-12,7,,,,,,,,,,,,-16
73,,,,,,50,50,50,50,50,50,,,,50,50,37,,,,,,50,43,46,44,-30,,,,,,,,,,,,45,42,50,46,50,41,16,50,-12,25,50,
74,,,,,,30,28,14,17,27,,,,,37,-30,20,,,,,,-26,-17,30,-17,-14,37,,,,,,,,,,,16,21,29,21,32,13,15,44,45,19,36,
75,50,50,50,50,50,,,,,,50,-50,27,3,,,,-50,-50,2,-50,-50,,,,,,,16,-50,-50,-50,-50,-50,1,-50,-50,2,,,,,,,,,,,,50
77,34,50,50,50,50,,,,,,,-33,30,21,,,,-17,-50,19,-23,-29,,,,,,-50,50,-20,42,-33,-32,-50,50,-28,-28,50,,,,,,,,,,,,50
78,,,,,,50,-34,50,50,50,,,,,50,45,-50,,,,,,,-50,-50,-50,-50,-50,,,,,,,,,,,-41,-35,-29,49,25,-44,-50,22,-49,50,50,
81,50,50,50,27,50,,,,,,,-50,50,39,,,,34,-50,50,-50,50,,,,,,-24,50,40,50,50,50,-49,50,50,-25,50,,,,,,,,,,,,50
82,,,,,,50,-50,50,50,50,,,,,40,50,-15,,,,,,50,38,-20,47,-40,-50,,,,,,,,,,,22,28,-28,34,35,31,44,-12,-28,50,46,
83,,,,,,48,26,50,49,47,50,,,,50,41,-17,,,,,,38,11,-25,-13,-28,,,,,,,,,,,,50,-25,50,12,17,25,-15,-30,-26,-14,35,
84,39,46,30,42,43,,,,,,,-29,44,20,,,,40,18,30,-28,37,,,,,,-31,33,23,41,10,42,-37,40,19,15,41,,,,,,,,,,,,44
85,,,,,,39,22,36,36,37,40,,,,32,31,25,,,,,,39,40,25,38,36,,,,,,,,,,,,37,34,38,35,35,36,34,31,37,35,36,
86,43,50,50,50,-16,,,,,,44,-18,41,42,,,,-27,-43,-16,-27,-28,,,,,,,41,-33,43,-28,44,-43,30,-22,-23,-23,,,,,,,,,,,,50
87,,,,,,50,50,50,50,50,50,,,,50,50,50,,,,,,50,50,50,50,50,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,
88,47,50,50,46,50,,,,,,,50,50,50,,,,32,34,37,33,43,,,,,,20,50,50,36,50,50,50,50,50,50,50,,,,,,,,,,,,50
89,,,,,,46,46,41,43,42,48,,,,41,44,7,,,,,,42,42,42,45,11,,,,,,,,,,,,46,39,44,44,25,45,45,15,29,47,50,
90,,,,,,50,26,50,35,34,,,,,24,37,30,,,,,,50,44,30,24,31,26,,,,,,,,,,,32,19,26,16,50,28,32,22,50,35,,
91,,,,,,50,50,50,50,50,50,,,,50,50,41,,,,,,50,46,50,50,43,,,,,,,,,,,,50,50,50,50,50,50,50,50,28,50,50,
92,,,,,,50,-40,50,50,50,,,,,48,45,-41,,,,,,-17,-41,-48,-15,-50,-24,,,,,,,,,,,-21,20,-19,14,38,-47,-22,-22,-50,17,50,
93,,,,,,50,-15,49,50,49,,,,,45,49,-41,,,,,,42,50,25,-44,15,-43,,,,,,,,,,,-12,40,26,43,46,50,35,49,-26,46,44,
94,50,50,50,42,45,,,,,,50,-31,36,50,,,,50,-32,50,-24,-23,,,,,,,50,-21,46,48,17,-25,50,36,-24,39,,,,,,,,,,,,50
95,,,,,,50,1,50,37,50,,,,,50,50,-14,,,,,,33,15,50,28,-30,-50,,,,,,,,,,,50,-18,50,50,50,20,26,22,31,34,50,
96,19,18,-6,30,5,,,,,,,-35,6,22,,,,-13,-25,-16,-22,4,,,,,,-24,4,-4,8,-13,5,-18,15,28,8,34,,,,,,,,,,,,21
97,50,50,43,50,46,,,,,,,-50,-41,37,,,,-50,45,50,-50,44,,,,,,-50,50,-40,49,-50,-41,-50,-42,-50,-41,50,,,,,,,,,,,,50
98,50,50,50,35,50,,,,,,50,-50,37,-34,,,,-29,50,-23,-33,-50,,,,,,,-19,50,49,50,50,-50,50,50,-27,50,,,,,,,,,,,,50
99,,,,,,50,-13,50,50,50,50,,,,50,50,-50,,,,,,50,50,-26,50,-50,,,,,,,,,,,,50,50,-50,50,50,-50,50,-50,-50,13,50,
100,,,,,,50,50,50,50,50,,,,,36,31,-27,,,,,,23,-8,-8,-32,-34,-50,,,,,,,,,,,-12,-1,-31,25,50,-21,-16,-1,-33,17,50,
101,24,-10,37,38,16,,,,,,,-50,-15,14,,,,-50,-50,-29,-50,-41,,,,,,-50,-21,-50,-26,-50,-16,-50,-4,-45,-50,2,,,,,,,,,,,,41
102,,,,,,50,-19,50,50,50,50,,,,50,17,-27,,,,,,50,-50,-50,16,-15,,,,,,,,,,,,-50,-50,-50,-23,18,-25,-50,19,-50,-25,50,
103,50,45,-8,44,-16,,,,,,,-43,17,-21,,,,20,-25,-19,-12,11,,,,,,-43,22,17,13,-15,-23,-9,10,7,-24,40,,,,,,,,,,,,50
104,50,50,50,50,-28,,,,,,43,-17,44,21,,,,26,-19,-6,-10,38,,,,,,,33,-8,-17,-19,1,-16,50,39,25,9,,,,,,,,,,,,50
105,50,50,50,50,50,,,,,,50,13,50,50,,,,50,-20,34,50,44,,,,,,,50,50,50,9,50,49,50,50,50,49,,,,,,,,,,,,50
106,,,,,,50,46,50,50,50,,,,,50,50,46,,,,,,50,50,50,50,48,43,,,,,,,,,,,50,50,50,50,50,49,50,49,46,50,50,
109,,,,,,50,-50,50,50,50,50,,,,50,50,-50,,,,,,50,50,-50,50,-50,,,,,,,,,,,,50,-50,50,50,50,50,-50,50,-50,50,50,
110,,,,,,50,-31,50,50,50,50,,,,50,-31,50,,,,,,-50,-50,-50,50,-35,,,,,,,,,,,,-50,50,50,50,23,-50,50,50,50,-33,50,
111,50,50,50,3,50,,,,,,50,3,0,50,,,,1,23,0,2,22,,,,,,,50,50,50,23,50,25,50,50,0,50,,,,,,,,,,,,50
112,50,50,50,50,50,,,,,,50,-12,-11,-19,,,,7,-15,14,-12,0,,,,,,,8,13,25,-16,-16,-25,37,-16,8,15,,,,,,,,,,,,50
113,19,24,15,14,11,,,,,,,-20,14,-16,,,,8,-30,6,-34,-7,,,,,,-17,9,6,4,13,6,-22,14,-14,4,11,,,,,,,,,,,,34
114,,,,,,18,50,24,32,44,50,,,,18,12,19,,,,,,-19,-8,,50,,,,,,,,,,,,,16,35,18,40,47,-5,49,14,-4,4,29,
115,48,50,50,40,50,,,,,,,-36,49,46,,,,-50,50,50,-35,-29,,,,,,-41,40,50,50,-33,40,48,45,-30,50,44,,,,,,,,,,,,45
116,,,,,,50,43,45,48,50,,,,,47,48,-26,,,,,,43,-44,-45,-33,-37,-50,,,,,,,,,,,-32,38,-43,-28,32,-33,-16,-34,-25,-40,-24,
117,50,50,49,50,48,,,,,,,-24,50,-32,,,,-26,-50,-40,-22,-50,,,,,,-50,50,-50,50,-50,50,-50,50,-38,50,50,,,,,,,,,,,,50
118,,,,,,50,-50,50,50,50,50,,,,-50,50,-50,,,,,,50,-50,50,-50,-50,,,,,,,,,,,,50,-50,-50,-50,50,19,-50,-50,-50,-50,50,
120,30,50,40,28,37,,,,,,50,-50,-29,-20,,,,-50,-43,46,-50,-36,,,,,,,46,-40,41,-50,-38,-50,-39,-30,-37,47,,,,,,,,,,,,50
121,50,50,50,50,50,,,,,,,-50,47,48,,,,-15,-38,7,-50,44,,,,,,-29,50,43,2,-40,44,-23,37,-50,-24,50,,,,,,,,,,,,50
